"date","conf","status1","s1"
"1999-03-30 24:00:00","","Normal value",0.22
"1999-06-29 24:00:00","","Normal value",0.38
"1999-09-29 24:00:00","","Normal value",1.01
"1999-12-30 24:00:00","","Normal value",2.01
"2000-03-30 24:00:00","","Normal value",1.96
"2000-06-29 24:00:00","","Normal value",2.16
"2000-09-29 24:00:00","","Normal value",1.61
"2000-12-30 24:00:00","","Normal value",1.12
"2001-03-30 24:00:00","","Normal value",1.37
"2001-06-29 24:00:00","","Normal value",1.06
"2001-09-29 24:00:00","","Normal value",0.95
"2001-12-30 24:00:00","","Normal value",0.57
"2002-03-30 24:00:00","","Normal value",-0.38
"2002-06-29 24:00:00","","Normal value",0.03
"2002-09-29 24:00:00","","Normal value",0.35
"2002-12-30 24:00:00","","Normal value",0.69
"2003-03-30 24:00:00","","Normal value",0.47
"2003-06-29 24:00:00","","Normal value",-0.04
"2003-09-29 24:00:00","","Normal value",0.15
"2003-12-30 24:00:00","","Normal value",0.46
"2004-03-30 24:00:00","","Normal value",1.22
"2004-06-29 24:00:00","","Normal value",1.72
"2004-09-29 24:00:00","","Normal value",1.26
"2004-12-30 24:00:00","","Normal value",0.88
"2005-03-30 24:00:00","","Normal value",0.58
"2005-06-29 24:00:00","","Normal value",0.5
"2005-09-29 24:00:00","","Normal value",0.98
"2005-12-30 24:00:00","","Normal value",1.05
"2006-03-30 24:00:00","","Normal value",1.42
"2006-06-29 24:00:00","","Normal value",1.64
"2006-09-29 24:00:00","","Normal value",1.33
"2006-12-30 24:00:00","","Normal value",1.85
"2007-03-30 24:00:00","","Normal value",1.55
"2007-06-29 24:00:00","","Normal value",1.2
"2007-09-29 24:00:00","","Normal value",1.04
"2007-12-30 24:00:00","","Normal value",0.53
"2008-03-30 24:00:00","","Normal value",0.48
"2008-06-29 24:00:00","","Normal value",-0.06
"2008-09-29 24:00:00","","Normal value",-0.45
"2008-12-30 24:00:00","","Normal value",-2.07
"2009-03-30 24:00:00","","Normal value",-4.46
"2009-06-29 24:00:00","","Normal value",-3.5
"2009-09-29 24:00:00","","Normal value",-2.37
"2009-12-30 24:00:00","","Normal value",-0.27
"2010-03-30 24:00:00","","Normal value",2.6
"2010-06-29 24:00:00","","Normal value",3.01
"2010-09-29 24:00:00","","Normal value",2.6
"2010-12-30 24:00:00","","Normal value",2.33
"2011-03-30 24:00:00","","Normal value",2.71
"2011-06-29 24:00:00","","Normal value",1.54
"2011-09-29 24:00:00","","Normal value",1.42
"2011-12-30 24:00:00","","Normal value",0.76
"2012-03-30 24:00:00","","Normal value",-0.3
"2012-06-29 24:00:00","","Normal value",-0.4
"2012-09-29 24:00:00","","Normal value",-0.57
"2012-12-30 24:00:00","","Normal value",-0.46
"2013-03-30 24:00:00","","Normal value",-0.37
"2013-06-29 24:00:00","","Normal value",0.4
"2013-09-29 24:00:00","","Normal value",0.53
"2013-12-30 24:00:00","","Normal value",0.79
"2014-03-30 24:00:00","","Normal value",1.13
"2014-06-29 24:00:00","","Normal value",0.47
"2014-09-29 24:00:00","","Normal value",0.42
"2014-12-30 24:00:00","","Normal value",0.52
"2015-03-30 24:00:00","","Normal value",0.84
"2015-06-29 24:00:00","","Normal value",1.09
"2015-09-29 24:00:00","","Normal value",0.94
"2015-12-30 24:00:00","","Normal value",0.85
"2016-03-30 24:00:00","","Normal value",0.59
"2016-06-29 24:00:00","","Normal value",0.21
"2016-09-29 24:00:00","","Normal value",0.35
"2016-12-30 24:00:00","","Normal value",0.63
"2017-03-30 24:00:00","","Normal value",0.68
"2017-06-29 24:00:00","","Normal value",1.25
"2017-09-29 24:00:00","","Normal value",1.4
"2017-12-30 24:00:00","","Normal value",1.41
"2018-03-30 24:00:00","","Normal value",0.66
"2018-06-29 24:00:00","","Normal value",0.34
"2018-09-29 24:00:00","","Normal value",-0.24
"2018-12-30 24:00:00","","Normal value",-0.27
"2019-03-30 24:00:00","","Normal value",0.28
"2019-06-29 24:00:00","","Normal value",0.23
"2019-09-29 24:00:00","","Normal value",0.55
"2019-12-30 24:00:00","","Normal value",-0.01
"2020-03-30 24:00:00","","Normal value",-3.21
"2020-06-29 24:00:00","","Normal value",-11.68
"2020-09-29 24:00:00","","Normal value",-2.12
"2020-12-30 24:00:00","","Normal value",-2.6
"2021-03-30 24:00:00","","Normal value",0.74
"2021-06-29 24:00:00","","Normal value",11.68
"2021-09-29 24:00:00","","Normal value",1.7
"2021-12-30 24:00:00","","Normal value",2.33
"2022-03-30 24:00:00","","Normal value",2.23
"2022-06-29 24:00:00","","Normal value",1.43
"2022-09-29 24:00:00","","Normal value",0.52
"2022-12-30 24:00:00","","Normal value",0.19
"2023-03-30 24:00:00","","Normal value",-0.47
"2023-06-29 24:00:00","","Normal value",-0.77
