"date","conf","status1","s1"
"2000-01-30 24:00:00","","Normal value",9.44
"2000-02-28 24:00:00","","Normal value",9.35
"2000-03-30 24:00:00","","Normal value",9.26
"2000-04-29 24:00:00","","Normal value",9.18
"2000-05-30 24:00:00","","Normal value",9.12
"2000-06-29 24:00:00","","Normal value",9.08
"2000-07-30 24:00:00","","Normal value",9.04
"2000-08-30 24:00:00","","Normal value",8.98
"2000-09-29 24:00:00","","Normal value",8.93
"2000-10-30 24:00:00","","Normal value",8.82
"2000-11-29 24:00:00","","Normal value",8.76
"2000-12-30 24:00:00","","Normal value",8.68
"2001-01-30 24:00:00","","Normal value",8.57
"2001-02-27 24:00:00","","Normal value",8.53
"2001-03-30 24:00:00","","Normal value",8.49
"2001-04-29 24:00:00","","Normal value",8.47
"2001-05-30 24:00:00","","Normal value",8.49
"2001-06-29 24:00:00","","Normal value",8.46
"2001-07-30 24:00:00","","Normal value",8.46
"2001-08-30 24:00:00","","Normal value",8.47
"2001-09-29 24:00:00","","Normal value",8.5
"2001-10-30 24:00:00","","Normal value",8.53
"2001-11-29 24:00:00","","Normal value",8.56
"2001-12-30 24:00:00","","Normal value",8.57
"2002-01-30 24:00:00","","Normal value",8.56
"2002-02-27 24:00:00","","Normal value",8.61
"2002-03-30 24:00:00","","Normal value",8.58
"2002-04-29 24:00:00","","Normal value",8.64
"2002-05-30 24:00:00","","Normal value",8.67
"2002-06-29 24:00:00","","Normal value",8.7
"2002-07-30 24:00:00","","Normal value",8.77
"2002-08-30 24:00:00","","Normal value",8.81
"2002-09-29 24:00:00","","Normal value",8.86
"2002-10-30 24:00:00","","Normal value",8.89
"2002-11-29 24:00:00","","Normal value",8.94
"2002-12-30 24:00:00","","Normal value",9.01
"2003-01-30 24:00:00","","Normal value",9.09
"2003-02-27 24:00:00","","Normal value",9.11
"2003-03-30 24:00:00","","Normal value",9.17
"2003-04-29 24:00:00","","Normal value",9.17
"2003-05-30 24:00:00","","Normal value",9.18
