Date;Symbol;Indexvalue
04.01.1999;V2TX;18.2033
05.01.1999;V2TX;29.6912
06.01.1999;V2TX;25.167
07.01.1999;V2TX;32.5205
08.01.1999;V2TX;33.2296
11.01.1999;V2TX;36.8411
12.01.1999;V2TX;37.5664
13.01.1999;V2TX;39.7373
14.01.1999;V2TX;39.1373
15.01.1999;V2TX;38.6741
18.01.1999;V2TX;38.5439
19.01.1999;V2TX;38.7869
20.01.1999;V2TX;35.5535
21.01.1999;V2TX;36.9171
22.01.1999;V2TX;39.9439
25.01.1999;V2TX;40.7034
26.01.1999;V2TX;42.7544
27.01.1999;V2TX;41.7569
28.01.1999;V2TX;39.1479
29.01.1999;V2TX;37.614
01.02.1999;V2TX;37.0314
02.02.1999;V2TX;38.6119
03.02.1999;V2TX;39.9634
04.02.1999;V2TX;38.7933
05.02.1999;V2TX;37.8148
08.02.1999;V2TX;38.7652
09.02.1999;V2TX;39.5509
10.02.1999;V2TX;40.304
11.02.1999;V2TX;37.8309
12.02.1999;V2TX;36.0635
15.02.1999;V2TX;37.6696
16.02.1999;V2TX;36.0135
17.02.1999;V2TX;36.6858
18.02.1999;V2TX;35.563
19.02.1999;V2TX;33.9143
22.02.1999;V2TX;32.0859
23.02.1999;V2TX;31.2627
24.02.1999;V2TX;30.7791
25.02.1999;V2TX;31.7813
26.02.1999;V2TX;30.7952
01.03.1999;V2TX;32.4626
02.03.1999;V2TX;32.0338
03.03.1999;V2TX;31.9273
04.03.1999;V2TX;30.8785
05.03.1999;V2TX;29.2587
08.03.1999;V2TX;29.8568
09.03.1999;V2TX;28.9631
10.03.1999;V2TX;27.9453
11.03.1999;V2TX;27.0558
12.03.1999;V2TX;26.9831
15.03.1999;V2TX;27.7671
16.03.1999;V2TX;27.4854
17.03.1999;V2TX;28.156
18.03.1999;V2TX;28.1701
19.03.1999;V2TX;26.9936
22.03.1999;V2TX;27.138
23.03.1999;V2TX;28.8415
24.03.1999;V2TX;29.9038
25.03.1999;V2TX;28.0526
26.03.1999;V2TX;28.573
29.03.1999;V2TX;27.319
30.03.1999;V2TX;27.2308
31.03.1999;V2TX;25.2455
01.04.1999;V2TX;24.6067
06.04.1999;V2TX;24.6069
07.04.1999;V2TX;25.0337
08.04.1999;V2TX;24.9114
09.04.1999;V2TX;24.3759
12.04.1999;V2TX;25.2893
13.04.1999;V2TX;24.4003
14.04.1999;V2TX;25.4744
15.04.1999;V2TX;26.5825
16.04.1999;V2TX;25.7353
19.04.1999;V2TX;25.0928
20.04.1999;V2TX;26.7889
21.04.1999;V2TX;25.7711
22.04.1999;V2TX;25.2493
23.04.1999;V2TX;25.2358
26.04.1999;V2TX;25.7839
27.04.1999;V2TX;24.3193
28.04.1999;V2TX;24.47
29.04.1999;V2TX;24.7805
30.04.1999;V2TX;23.737
03.05.1999;V2TX;24.1008
04.05.1999;V2TX;24.4724
05.05.1999;V2TX;25.6464
06.05.1999;V2TX;26.9529
07.05.1999;V2TX;27.0848
10.05.1999;V2TX;27.306
11.05.1999;V2TX;26.5551
12.05.1999;V2TX;27.5905
14.05.1999;V2TX;28.3111
17.05.1999;V2TX;30.5288
18.05.1999;V2TX;30.8287
19.05.1999;V2TX;28.1833
20.05.1999;V2TX;25.3421
21.05.1999;V2TX;23.4528
25.05.1999;V2TX;26.6217
26.05.1999;V2TX;26.6568
27.05.1999;V2TX;27.2467
28.05.1999;V2TX;25.5676
31.05.1999;V2TX;24.9911
01.06.1999;V2TX;25.1583
02.06.1999;V2TX;25.2086
03.06.1999;V2TX;25.6438
04.06.1999;V2TX;23.3808
07.06.1999;V2TX;23.245
08.06.1999;V2TX;23.1267
09.06.1999;V2TX;22.6426
10.06.1999;V2TX;23.4619
11.06.1999;V2TX;22.4243
14.06.1999;V2TX;23.3682
15.06.1999;V2TX;23.0918
16.06.1999;V2TX;21.7749
17.06.1999;V2TX;20.8871
